PA,4,39,w1,w2,w3,w4
IX,d,SE,1.0,3.0,9.0,14.0
0,0,0,0.0,0.0,0.0,0.0
1,1,1,1.0,0.0,0.0,0.0
2,2,2,-1.0,1.0,0.0,0.0
3,3,1,0.0,1.0,0.0,0.0
4,4,2,1.0,1.0,0.0,0.0
5,5,2,0.0,0.0,-1.0,1.0
6,6,2,0.0,-1.0,1.0,0.0
7,7,3,1.0,-1.0,1.0,0.0
8,8,2,-1.0,0.0,1.0,0.0
9,9,1,0.0,0.0,1.0,0.0
10,10,2,1.0,0.0,1.0,0.0
11,11,2,0.0,-1.0,0.0,1.0
12,12,2,0.0,1.0,1.0,0.0
13,13,2,-1.0,0.0,0.0,1.0
14,14,1,0.0,0.0,0.0,1.0
15,15,2,1.0,0.0,0.0,1.0
16,16,2,0.0,0.0,-1.0,-1.0
17,17,2,0.0,1.0,0.0,1.0
18,18,3,1.0,1.0,0.0,1.0
19,19,3,0.0,1.0,-1.0,-1.0
20,20,3,0.0,-1.0,1.0,1.0
21,21,3,-1.0,-1.0,0.0,-1.0
22,22,2,0.0,-1.0,0.0,-1.0
23,23,2,0.0,0.0,1.0,1.0
24,24,2,-1.0,0.0,0.0,-1.0
25,25,1,0.0,0.0,0.0,-1.0
26,26,2,1.0,0.0,0.0,-1.0
27,27,2,0.0,-1.0,-1.0,0.0
28,28,2,0.0,1.0,0.0,-1.0
29,29,2,-1.0,0.0,-1.0,0.0
30,30,1,0.0,0.0,-1.0,0.0
31,31,2,1.0,0.0,-1.0,0.0
32,32,3,-1.0,1.0,-1.0,0.0
33,33,2,0.0,1.0,-1.0,0.0
34,34,2,0.0,0.0,1.0,-1.0
35,35,2,-1.0,-1.0,0.0,0.0
36,36,1,0.0,-1.0,0.0,0.0
37,37,2,1.0,-1.0,0.0,0.0
38,38,1,-1.0,0.0,0.0,0.0
,TSE,74,,,,
,MSE,0.4744,,,,
,PSNR,51.37,,,,
